.1.3.6.1.4.1.4458.1000.1.1.1.0 "PTMP SU"
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.63 63
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.64 64
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.65 65
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.66 66
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.67 67
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.68 68
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.69 69
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.70 70
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.71 71
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.72 72
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.73 73
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.74 74
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.75 75
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.76 76
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.77 77
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.78 78
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.79 79
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.80 80
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.81 81
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.82 82
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.83 83
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.84 84
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.85 85
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.86 86
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.87 87
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.88 88
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.89 89
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.90 90
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.91 91
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.92 92
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.93 93
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.94 94
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.95 95
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.96 96
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.97 97
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.98 98
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.99 99
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.1.100 100
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.1 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.2 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.3 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.4 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.5 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.6 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.7 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.8 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.9 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.10 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.11 0.0.0.0
.1.3.6.1.4.1.4458.1000.1.2.8.2.1.2.12 0.0.0.0
